serid,type,time
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-FpAreaCheck,0.00050
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-NoduleSegmentation,5.64696
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-DensityClassification,0.20815
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-MaliClassification,0.94298
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissurePreproc,0.80326
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-GeneratePatches,9.72871
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-SplitPatches,0.00016
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,1.00170
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Preprocess-Python,61.22590
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-PrepareLoader,0.00010
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation-SlidingWindow,19.05250
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00056
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-GeneratePatches,12.03938
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-SplitPatches,0.00020
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissureSegmentation-SlidingWindow,16.28123
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00064
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00047
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation-PatchPrediction,15.02577
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation-MergeResult,0.05651
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-FissureSegmentation,2.27553
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissureSegmentation-PatchPrediction,16.22687
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissureSegmentation-MergeResult,0.09194
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-FissureSegmentation,0.80326
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Preprocess-Cpp,72.25303
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,1.00172
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00056
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungLeaf-PostProcessingAndDetection,26.70557
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungLeaf-PostProcessingAndDetection,21.25738
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungSeg-StageOneLungSegPrediction,0.06271
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,LungSeg-LungSegPrediction,0.01665
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungSeg-StageOneLungSegPrediction,0.15432
1.2.840.113619.2.94.485653714953.2.1766368.6345989.1,LungSeg-LungSegPrediction,0.07770
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00039
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-FpAreaCheck,0.00059
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-NoduleSegmentation,84.27320
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-DensityClassification,2.46936
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,PostProcess-MaliClassification,5.61548
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Preprocess-Cpp,50.35340
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissurePreproc,2.44057
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-2ModelPredict,72.02880
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-2ModelGetPbb,1.33465
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-Concat,0.00007
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-Dbscan,5.59365
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-Relocate,0.06122
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissureSegmentation-SlidingWindow,10.52290
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-AirwayModel,0.93074
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-FpAreaCheck,0.00046
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Preprocess-Python,23.48642
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-PrepareLoader,0.00007
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-FpAreaCheck,0.00060
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissureSegmentation-PatchPrediction,15.90743
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-2ModelPredict,88.34296
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissureSegmentation-MergeResult,0.08738
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-FissureSegmentation,2.44057
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-GeneratePatches,8.97800
1.2.392.200036.9116.2.5.1.37.2424372387.1550809023.294836,Detection-SplitPatches,0.00025
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-2ModelGetPbb,1.50542
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-Concat,0.00013
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-FpAreaCheck,1.00177
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Preprocess-Cpp,72.37563
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Preprocess-Python,74.71831
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-PrepareLoader,0.00007
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-FpAreaCheck,0.00046
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-GeneratePatches,10.42555
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Detection-SplitPatches,0.00016
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungLeaf-PostProcessingAndDetection,19.97793
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungSeg-StageOneLungSegPrediction,0.11345
1.2.392.200036.9116.2.5.1.37.2424372387.1550791234.218893,LungSeg-LungSegPrediction,0.06329
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-NoduleSegmentation,31.40217
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-DensityClassification,0.65730
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-MaliClassification,1.61536
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Preprocess-Python,31.85584
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-PrepareLoader,0.00007
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissurePreproc,16.89173
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-GeneratePatches,10.24601
1.2.392.200036.9116.2.5.1.37.2424372387.1550799683.960461,Detection-SplitPatches,0.00022
