serid,type,time
1.2.392.200036.9116.2.6.1.48.1214250055.1550842430.928014,LungLeaf-PostProcessingAndDetection,22.73401
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,PostProcess-FpAreaCheck,0.00070
1.2.392.200036.9116.2.6.1.48.1214250055.1550842430.928014,LungSeg-StageOneLungSegPrediction,0.08280
1.2.392.200036.9116.2.6.1.48.1214250055.1550843169.953007,LungLeaf-FissureSegmentation-SlidingWindow,10.99820
1.2.392.200036.9116.2.6.1.48.1214250055.1550842430.928014,LungSeg-LungSegPrediction,0.02918
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,PostProcess-FpAreaCheck,0.00047
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,PostProcess-FpAreaCheck,0.00751
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,PostProcess-FpAreaCheck,0.00234
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,Preprocess-Cpp,89.00968
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,PostProcess-FpAreaCheck,0.00070
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,PostProcess-FpAreaCheck,0.00050
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,PostProcess-FpAreaCheck,0.00243
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,PostProcess-FpAreaCheck,0.00043
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,PostProcess-FpAreaCheck,0.00046
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,PostProcess-FpAreaCheck,0.00061
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,PostProcess-FpAreaCheck,0.00045
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,Detection-2ModelPredict,90.35594
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,Detection-2ModelGetPbb,1.41725
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,Detection-Concat,0.00013
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,PostProcess-FpAreaCheck,0.00047
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,Detection-Dbscan,0.28010
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,Detection-Relocate,0.00265
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,PostProcess-FpAreaCheck,0.00054
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,PostProcess-FpAreaCheck,0.00045
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,PostProcess-AirwayModel,0.27572
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,PostProcess-FpAreaCheck,0.00043
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,PostProcess-FpAreaCheck,0.00050
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,PostProcess-FpAreaCheck,0.00151
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,PostProcess-FpAreaCheck,0.00087
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,PostProcess-NoduleSegmentation,49.20818
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,PostProcess-DensityClassification,4.60683
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,PostProcess-MaliClassification,19.93183
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,PostProcess-FpAreaCheck,0.00213
1.2.392.200036.9116.2.6.1.48.1214250055.1550843169.953007,LungLeaf-FissureSegmentation-PatchPrediction,17.26941
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,LungLeaf-FissurePreproc,0.58319
1.2.392.200036.9116.2.6.1.48.1214250055.1550843169.953007,LungLeaf-FissureSegmentation-MergeResult,0.09397
1.2.392.200036.9116.2.6.1.48.1214250055.1550843169.953007,LungLeaf-FissureSegmentation,0.90959
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,PostProcess-FpAreaCheck,0.00057
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,PostProcess-FpAreaCheck,1.00172
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,PostProcess-NoduleSegmentation,6.16807
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,PostProcess-DensityClassification,0.53340
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,PostProcess-MaliClassification,1.45114
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,LungLeaf-FissurePreproc,1.03007
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,PostProcess-FpAreaCheck,0.00052
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,Preprocess-Python,38.87843
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,Detection-PrepareLoader,0.00007
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,PostProcess-NoduleSegmentation,85.42657
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,PostProcess-DensityClassification,13.73119
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,PostProcess-MaliClassification,32.74846
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,Preprocess-Python,27.64552
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,Detection-PrepareLoader,0.00007
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,LungLeaf-FissurePreproc,1.86216
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,LungLeaf-FissureSegmentation-SlidingWindow,13.08709
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,Detection-GeneratePatches,11.28323
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,Detection-SplitPatches,0.00036
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,Detection-GeneratePatches,12.60793
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,Detection-SplitPatches,0.00031
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,LungLeaf-FissureSegmentation-SlidingWindow,18.73470
1.2.392.200036.9116.2.6.1.48.1214250055.1550843169.953007,LungLeaf-PostProcessingAndDetection,23.21502
1.2.392.200036.9116.2.6.1.48.1214250055.1550843169.953007,LungSeg-StageOneLungSegPrediction,0.09091
1.2.392.200036.9116.2.6.1.48.1214250055.1550843169.953007,LungSeg-LungSegPrediction,0.05001
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,LungLeaf-FissureSegmentation-SlidingWindow,14.84302
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,LungLeaf-FissureSegmentation-PatchPrediction,31.35987
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,LungLeaf-FissureSegmentation-MergeResult,0.08978
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,LungLeaf-FissureSegmentation,0.58319
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,LungLeaf-FissureSegmentation-PatchPrediction,31.77041
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,LungLeaf-FissureSegmentation-MergeResult,0.09364
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,LungLeaf-FissureSegmentation,1.03007
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,LungLeaf-FissureSegmentation-PatchPrediction,31.89964
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,LungLeaf-PostProcessingAndDetection,14.19724
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,LungSeg-StageOneLungSegPrediction,0.21566
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,LungLeaf-FissureSegmentation-MergeResult,0.07224
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,LungLeaf-FissureSegmentation,1.86216
1.3.12.2.1107.5.1.4.73757.3000001710180025395830066588831,LungSeg-LungSegPrediction,0.21181
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,LungLeaf-PostProcessingAndDetection,23.73542
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,LungSeg-StageOneLungSegPrediction,0.06428
1.2.392.200036.9116.2.6.1.48.1214250055.1550843747.87199,LungSeg-LungSegPrediction,0.01900
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,LungLeaf-PostProcessingAndDetection,25.19763
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,LungSeg-StageOneLungSegPrediction,0.33781
1.2.392.200036.9116.2.6.1.48.1214250055.1550842097.431307,LungSeg-LungSegPrediction,0.26558
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,Detection-2ModelPredict,121.36901
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,Detection-2ModelGetPbb,1.69831
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,Detection-Concat,0.00017
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,Preprocess-Cpp,85.23112
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,Preprocess-Cpp,60.15441
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,Preprocess-Python,30.11439
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,Detection-PrepareLoader,0.00007
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,Preprocess-Python,26.77298
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,Detection-PrepareLoader,0.00006
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,Detection-GeneratePatches,6.63000
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,Detection-GeneratePatches,9.74386
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,Detection-SplitPatches,0.00022
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,Detection-Dbscan,24.33466
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,Detection-Relocate,0.00268
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,Detection-SplitPatches,0.00018
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,Detection-2ModelPredict,120.51029
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,Detection-2ModelGetPbb,1.62900
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,Detection-Concat,0.00017
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,Detection-Dbscan,4.54495
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,Detection-Relocate,0.00148
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,Detection-2ModelPredict,124.57531
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-AirwayModel,0.90057
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00044
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,Detection-2ModelGetPbb,1.61296
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,Detection-Concat,0.00020
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00048
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,Preprocess-Cpp,66.72729
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00210
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,PostProcess-AirwayModel,0.93084
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,PostProcess-FpAreaCheck,0.00042
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00049
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,PostProcess-FpAreaCheck,0.00052
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,1.00171
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,Preprocess-Cpp,74.19865
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00048
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,PostProcess-FpAreaCheck,1.00343
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00063
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,PostProcess-FpAreaCheck,0.00055
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00053
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,PostProcess-FpAreaCheck,0.00054
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00053
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,PostProcess-FpAreaCheck,0.00898
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00061
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00063
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,PostProcess-FpAreaCheck,0.00217
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00054
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,PostProcess-FpAreaCheck,0.00228
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00057
1.2.840.113704.1.111.7376.1508627193.12,Preprocess-Cpp,62.67787
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,Preprocess-Python,40.12535
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,Detection-PrepareLoader,0.00007
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,PostProcess-FpAreaCheck,0.00038
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,1.00232
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,Detection-2ModelPredict,63.39093
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,Detection-2ModelGetPbb,1.00372
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,Detection-Concat,0.00012
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,Detection-Dbscan,0.85687
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,Detection-Relocate,0.00085
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,Preprocess-Python,33.28241
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,Detection-PrepareLoader,0.00007
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,Detection-GeneratePatches,6.39385
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,Detection-SplitPatches,0.00019
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00207
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,PostProcess-AirwayModel,0.79471
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,PostProcess-FpAreaCheck,0.00041
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,PostProcess-NoduleSegmentation,37.04644
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,PostProcess-DensityClassification,2.64446
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,PostProcess-MaliClassification,6.70289
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,LungLeaf-FissurePreproc,1.46786
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,Detection-GeneratePatches,6.98534
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,Detection-SplitPatches,0.00015
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,Detection-Dbscan,37.82019
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,Detection-Relocate,0.00264
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,PostProcess-FpAreaCheck,0.00050
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00454
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,PostProcess-FpAreaCheck,0.00054
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00053
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,LungLeaf-FissureSegmentation-SlidingWindow,16.28679
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,PostProcess-FpAreaCheck,0.00051
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-AirwayModel,0.78114
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00042
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00267
1.2.840.113704.1.111.7376.1508627193.12,Preprocess-Python,32.19926
1.2.840.113704.1.111.7376.1508627193.12,Detection-PrepareLoader,0.00007
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,PostProcess-NoduleSegmentation,20.63885
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,PostProcess-DensityClassification,1.99896
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,PostProcess-MaliClassification,3.05828
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,LungLeaf-FissurePreproc,1.21225
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00038
1.2.840.113704.1.111.7376.1508627193.12,Detection-GeneratePatches,6.48552
1.2.840.113704.1.111.7376.1508627193.12,Detection-SplitPatches,0.00017
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,1.00174
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,1.00173
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00050
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00084
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-FpAreaCheck,0.00110
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,LungLeaf-FissureSegmentation-SlidingWindow,17.14783
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,Detection-2ModelPredict,119.27432
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,Detection-2ModelGetPbb,1.70072
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,Detection-Concat,0.00018
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00047
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-NoduleSegmentation,81.17955
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-DensityClassification,7.19353
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,PostProcess-MaliClassification,15.85883
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,LungLeaf-FissurePreproc,0.95884
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,LungLeaf-FissureSegmentation-PatchPrediction,28.31210
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,LungLeaf-FissureSegmentation-MergeResult,0.05272
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,LungLeaf-FissureSegmentation,1.46786
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00047
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,1.00077
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,LungLeaf-FissureSegmentation-SlidingWindow,14.44785
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,LungLeaf-FissureSegmentation-PatchPrediction,21.52082
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,LungLeaf-FissureSegmentation-MergeResult,0.04711
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,LungLeaf-FissureSegmentation,1.21225
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,LungLeaf-PostProcessingAndDetection,21.30875
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00053
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,LungSeg-StageOneLungSegPrediction,0.10529
1.3.12.2.1107.5.1.4.73757.30000017040600163602100041587,LungSeg-LungSegPrediction,0.05635
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00047
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00061
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00044
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,LungLeaf-PostProcessingAndDetection,19.38339
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,LungSeg-StageOneLungSegPrediction,0.09867
1.3.46.670589.33.1.63644169184522239800002.5339121781412202348,LungSeg-LungSegPrediction,0.02668
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00057
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,LungLeaf-FissureSegmentation-PatchPrediction,23.19868
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,LungLeaf-FissureSegmentation-MergeResult,0.06163
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,LungLeaf-FissureSegmentation,0.95884
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,Detection-Dbscan,27.28421
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,Detection-Relocate,0.00385
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,1.00172
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,Detection-2ModelPredict,96.02507
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,Detection-2ModelGetPbb,0.98475
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,Detection-Concat,0.00010
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00059
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00048
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.04321
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,Detection-Dbscan,4.48744
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,Detection-Relocate,0.00157
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00237
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,PostProcess-AirwayModel,0.77164
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,PostProcess-FpAreaCheck,0.00276
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,LungLeaf-PostProcessingAndDetection,15.99832
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,PostProcess-AirwayModel,0.62747
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,PostProcess-FpAreaCheck,0.00043
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,LungSeg-StageOneLungSegPrediction,0.22693
1.3.12.2.1107.5.1.4.73757.30000017101800253958300665888,LungSeg-LungSegPrediction,0.12014
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00065
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,PostProcess-FpAreaCheck,0.00039
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,PostProcess-FpAreaCheck,0.00075
1.2.840.113704.1.111.7376.1508627193.12,Detection-2ModelPredict,87.95072
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00066
1.2.840.113704.1.111.7376.1508627193.12,Detection-2ModelGetPbb,1.02133
1.2.840.113704.1.111.7376.1508627193.12,Detection-Concat,0.00013
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,PostProcess-FpAreaCheck,0.00049
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,PostProcess-FpAreaCheck,0.00241
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00068
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,Detection-2ModelPredict,121.82028
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,PostProcess-FpAreaCheck,0.00062
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,PostProcess-FpAreaCheck,0.00055
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,Detection-2ModelGetPbb,1.42229
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,Detection-Concat,0.00022
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00048
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,PostProcess-FpAreaCheck,0.00043
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,PostProcess-FpAreaCheck,0.00083
1.2.840.113704.1.111.7376.1508627193.12,Detection-Dbscan,2.49864
1.2.840.113704.1.111.7376.1508627193.12,Detection-Relocate,0.00195
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,PostProcess-NoduleSegmentation,8.88020
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,PostProcess-DensityClassification,0.97424
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,PostProcess-MaliClassification,2.31043
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,PostProcess-FpAreaCheck,0.00049
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00051
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,LungLeaf-FissurePreproc,1.34437
1.2.840.113704.1.111.7376.1508627193.12,PostProcess-AirwayModel,0.42106
1.2.840.113704.1.111.7376.1508627193.12,PostProcess-FpAreaCheck,0.00038
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,PostProcess-FpAreaCheck,1.00192
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,1.00185
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,Detection-Dbscan,1.65587
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,Detection-Relocate,0.00107
1.2.840.113704.1.111.7376.1508627193.12,PostProcess-FpAreaCheck,0.00055
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,PostProcess-AirwayModel,0.39130
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,PostProcess-FpAreaCheck,0.00043
1.2.840.113704.1.111.7376.1508627193.12,PostProcess-FpAreaCheck,0.00066
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,PostProcess-FpAreaCheck,0.00056
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00296
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,PostProcess-FpAreaCheck,0.00050
1.2.840.113704.1.111.7376.1508627193.12,PostProcess-FpAreaCheck,0.00123
1.3.46.670589.33.1.63644174276232469000003.5075454926704918592,LungLeaf-FissureSegmentation-SlidingWindow,13.51658
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,PostProcess-FpAreaCheck,0.00063
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00669
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,PostProcess-FpAreaCheck,0.00241
1.2.156.112605.14038005439736.20171021233012.3.5600.6,Preprocess-Cpp,49.05695
1.2.840.113704.1.111.7376.1508627193.12,PostProcess-FpAreaCheck,0.00062
1.3.12.2.1107.5.1.4.73757.30000017112409335698200182465,PostProcess-FpAreaCheck,0.00073
1.3.46.670589.33.1.63644169280173710800003.5131598700190405076,PostProcess-FpAreaCheck,0.00050
1.3.12.2.1107.5.1.4.73757.30000017110410590937800314411,PostProcess-FpAreaCheck,0.00055
1.2.840.113704.1.111.7376.1508627193.12,PostProcess-NoduleSegmentation,18.91730
1.2.840.113704.1.111.7376.1508627193.12,PostProcess-DensityClassification,0.49625
