serid,type,time
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-PrepareLoader,0.00006
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-GeneratePatches,6.74583
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-SplitPatches,0.00009
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-Dbscan,16.55169
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,Detection-Relocate,0.00229
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-2ModelPredict,61.76552
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-2ModelGetPbb,0.84587
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-Concat,0.00010
1.2.392.200036.9116.2.5.1.37.2424372387.1550792379.175844,PostProcess-AirwayModel,0.48015
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-Dbscan,3.57228
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,Detection-Relocate,0.03717
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-AirwayModel,0.47631
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-2ModelPredict,47.61455
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-2ModelGetPbb,0.78617
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-Concat,0.00007
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-fpAreaCheck,0.00074
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-NoduleSegmentation,30.29654
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-DensityClassification,0.44580
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,PostProcess-MaliClassification,1.04044
1.2.392.200036.9116.2.5.1.37.2424372387.1550806854.346391,LungLeaf-FissurePreproc,2.13460
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-Dbscan,10.59644
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,Detection-Relocate,0.00150
1.2.392.200036.9116.2.5.1.37.2424372387.1550808389.790485,Preprocess-Cpp,57.56082
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-AirwayModel,0.20224
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-fpAreaCheck,0.00081
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-NoduleSegmentation,6.51052
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-DensityClassification,0.26483
1.2.392.200036.9116.2.5.1.37.2424372387.1550806746.292411,PostProcess-MaliClassification,0.98859
